FECHA,TASA DE RENDIMIENTO CETES 1 A¥O
15/01/2004,N/E
22/01/2004,5.75
29/01/2004,N/E
04/02/2004,N/E
12/02/2004,N/E
19/02/2004,6.26
26/02/2004,N/E
04/03/2004,N/E
11/03/2004,N/E
18/03/2004,6.66
25/03/2004,N/E
01/04/2004,N/E
07/04/2004,N/E
15/04/2004,6.18
22/04/2004,N/E
29/04/2004,N/E
06/05/2004,N/E
13/05/2004,8.06
20/05/2004,N/E
27/05/2004,N/E
03/06/2004,N/E
10/06/2004,8.23
17/06/2004,N/E
24/06/2004,N/E
01/07/2004,N/E
08/07/2004,8.22
15/07/2004,N/E
22/07/2004,N/E
29/07/2004,N/E
05/08/2004,8.55
12/08/2004,N/E
19/08/2004,N/E
26/08/2004,N/E
02/09/2004,8.49
09/09/2004,N/E
15/09/2004,N/E
23/09/2004,N/E
30/09/2004,8.61
07/10/2004,N/E
14/10/2004,N/E
21/10/2004,N/E
28/10/2004,8.67
04/11/2004,N/E
11/11/2004,N/E
18/11/2004,N/E
25/11/2004,9.08
02/12/2004,N/E
09/12/2004,N/E
16/12/2004,N/E
23/12/2004,8.58
30/12/2004,N/E
06/01/2005,N/E
13/01/2005,N/E
20/01/2005,8.61
27/01/2005,N/E
03/02/2005,N/E
10/02/2005,N/E
17/02/2005,9.21
24/02/2005,N/E
03/03/2005,N/E
10/03/2005,N/E
17/03/2005,9.88
23/03/2005,N/E
31/03/2005,N/E
07/04/2005,N/E
14/04/2005,10.26
21/04/2005,N/E
28/04/2005,N/E
05/05/2005,N/E
12/05/2005,10.18
19/05/2005,N/E
26/05/2005,N/E
02/06/2005,N/E
09/06/2005,9.67
16/06/2005,N/E
23/06/2005,N/E
30/06/2005,N/E
07/07/2005,9.59
14/07/2005,N/E
21/07/2005,N/E
04/08/2005,9.60
11/08/2005,N/E
18/08/2005,N/E
25/08/2005,N/E
01/09/2005,9.19
08/09/2005,N/E
15/09/2005,N/E
22/09/2005,N/E
29/09/2005,8.67
06/10/2005,N/E
13/10/2005,N/E
20/10/2005,N/E
27/10/2005,8.81
03/11/2005,N/E
10/11/2005,N/E
17/11/2005,N/E
24/11/2005,8.52
01/12/2005,N/E
08/12/2005,N/E
15/12/2005,N/E
22/12/2005,7.92
29/12/2005,N/E
05/01/2006,N/E
12/01/2006,N/E
19/01/2006,7.68
26/01/2006,N/E
02/02/2006,N/E
09/02/2006,N/E
16/02/2006,7.52
23/02/2006,N/E
02/03/2006,N/E
09/03/2006,N/E
16/03/2006,7.55
23/03/2006,N/E
30/03/2006,N/E
06/04/2006,N/E
12/04/2006,7.71
20/04/2006,N/E
27/04/2006,N/E
04/05/2006,N/E
11/05/2006,7.42
18/05/2006,N/E
25/05/2006,N/E
01/06/2006,N/E
08/06/2006,7.56
15/06/2006,N/E
22/06/2006,N/E
29/06/2006,N/E
06/07/2006,7.49
13/07/2006,N/E
20/07/2006,N/E
27/07/2006,N/E
03/08/2006,7.54
10/08/2006,N/E
17/08/2006,N/E
24/08/2006,N/E
31/08/2006,7.40
07/09/2006,N/E
14/09/2006,N/E
21/09/2006,N/E
28/09/2006,7.53
05/10/2006,N/E
26/10/2006,7.48
23/11/2006,7.28
21/12/2006,7.25
18/01/2007,7.46
15/02/2007,7.36
15/03/2007,7.52
12/04/2007,7.36
10/05/2007,7.60
07/06/2007,7.56
05/07/2007,7.51
02/08/2007,7.59
30/08/2007,7.64
27/09/2007,7.68
25/10/2007,7.65
22/11/2007,7.86
20/12/2007,7.85
17/01/2008,7.80
14/02/2008,7.43
13/03/2008,7.48
10/04/2008,7.60
08/05/2008,7.83
05/06/2008,7.89
03/07/2008,8.55
31/07/2008,8.72
28/08/2008,8.69
25/09/2008,8.66
23/10/2008,8.34
20/11/2008,8.51
18/12/2008,8.05
15/01/2009,7.24
12/02/2009,7.14
12/03/2009,7.48
08/04/2009,6.12
07/05/2009,5.41
04/06/2009,5.19
02/07/2009,5.17
30/07/2009,5.06
27/08/2009,5.13
24/09/2009,5.35
22/10/2009,5.39
05/11/2009,N/E
12/11/2009,N/E
19/11/2009,5.22
26/11/2009,N/E
03/12/2009,N/E
10/12/2009,N/E
17/12/2009,5.07
24/12/2009,N/E
31/12/2009,N/E
07/01/2010,N/E
14/01/2010,4.98
21/01/2010,N/E
28/01/2010,N/E
04/02/2010,N/E
11/02/2010,5.00
18/02/2010,N/E
25/02/2010,N/E
04/03/2010,N/E
11/03/2010,5.07
18/03/2010,N/E
25/03/2010,N/E
31/03/2010,N/E
08/04/2010,5.09
15/04/2010,N/E
22/04/2010,N/E
29/04/2010,N/E
06/05/2010,4.95
13/05/2010,N/E
20/05/2010,N/E
27/05/2010,N/E
03/06/2010,4.86
10/06/2010,N/E
17/06/2010,N/E
24/06/2010,N/E
01/07/2010,4.77
08/07/2010,N/E
15/07/2010,N/E
22/07/2010,N/E
29/07/2010,4.81
05/08/2010,N/E
12/08/2010,N/E
19/08/2010,N/E
26/08/2010,4.77
02/09/2010,N/E
09/09/2010,N/E
15/09/2010,N/E
23/09/2010,4.74
30/09/2010,N/E
07/10/2010,N/E
14/10/2010,N/E
21/10/2010,4.65
28/10/2010,N/E
04/11/2010,N/E
11/11/2010,N/E
18/11/2010,4.52
25/11/2010,N/E
02/12/2010,N/E
09/12/2010,N/E
16/12/2010,4.85
23/12/2010,N/E
30/12/2010,N/E
06/01/2011,N/E
13/01/2011,4.76
20/01/2011,N/E
27/01/2011,N/E
03/02/2011,N/E
10/02/2011,4.81
17/02/2011,N/E
24/02/2011,N/E
03/03/2011,N/E
10/03/2011,4.75
17/03/2011,N/E
24/03/2011,N/E
31/03/2011,N/E
07/04/2011,4.92
14/04/2011,N/E
20/04/2011,N/E
28/04/2011,N/E
05/05/2011,4.84
12/05/2011,N/E
19/05/2011,N/E
26/05/2011,N/E
02/06/2011,4.69
09/06/2011,N/E
16/06/2011,N/E
23/06/2011,N/E
30/06/2011,4.75
07/07/2011,N/E
14/07/2011,N/E
21/07/2011,N/E
28/07/2011,4.64
04/08/2011,N/E
11/08/2011,N/E
18/08/2011,N/E
25/08/2011,4.52
01/09/2011,N/E
08/09/2011,N/E
15/09/2011,N/E
22/09/2011,4.45
29/09/2011,N/E
06/10/2011,N/E
13/10/2011,N/E
20/10/2011,4.40
27/10/2011,N/E
03/11/2011,N/E
10/11/2011,N/E
17/11/2011,4.46
24/11/2011,N/E
01/12/2011,N/E
08/12/2011,N/E
15/12/2011,4.57
22/12/2011,N/E
29/12/2011,N/E
05/01/2012,N/E
12/01/2012,4.70
19/01/2012,N/E
26/01/2012,N/E
02/02/2012,N/E
09/02/2012,4.60
16/02/2012,N/E
23/02/2012,N/E
01/03/2012,N/E
08/03/2012,4.63
15/03/2012,N/E
22/03/2012,N/E
29/03/2012,N/E
04/04/2012,4.57
12/04/2012,N/E
19/04/2012,N/E
26/04/2012,N/E
03/05/2012,4.60
10/05/2012,N/E
17/05/2012,N/E
24/05/2012,N/E
31/05/2012,4.59
07/06/2012,N/E
14/06/2012,N/E
21/06/2012,N/E
28/06/2012,4.60
05/07/2012,N/E
12/07/2012,N/E
19/07/2012,N/E
26/07/2012,4.58
02/08/2012,N/E
09/08/2012,N/E
16/08/2012,N/E
23/08/2012,4.58
30/08/2012,N/E
06/09/2012,N/E
13/09/2012,N/E
20/09/2012,4.59
27/09/2012,N/E
04/10/2012,N/E
11/10/2012,N/E
18/10/2012,4.63
25/10/2012,N/E
01/11/2012,N/E
08/11/2012,N/E
15/11/2012,4.76
22/11/2012,N/E
29/11/2012,N/E
06/12/2012,N/E
13/12/2012,4.61
20/12/2012,N/E
27/12/2012,N/E
03/01/2013,N/E
10/01/2013,4.59
17/01/2013,N/E
24/01/2013,N/E
31/01/2013,N/E
07/02/2013,4.31
14/02/2013,N/E
21/02/2013,N/E
28/02/2013,N/E
07/03/2013,4.22
14/03/2013,N/E
21/03/2013,N/E
27/03/2013,N/E
04/04/2013,4.10
11/04/2013,N/E
18/04/2013,N/E
25/04/2013,N/E
02/05/2013,3.95
09/05/2013,N/E
16/05/2013,N/E
23/05/2013,N/E
30/05/2013,4.01
06/06/2013,N/E
13/06/2013,N/E
20/06/2013,N/E
27/06/2013,4.08
04/07/2013,N/E
11/07/2013,N/E
18/07/2013,N/E
25/07/2013,4.00
01/08/2013,N/E
08/08/2013,N/E
15/08/2013,N/E
22/08/2013,4.00
29/08/2013,N/E
05/09/2013,N/E
12/09/2013,N/E
19/09/2013,3.70
26/09/2013,N/E
03/10/2013,N/E
10/10/2013,N/E
17/10/2013,3.53
24/10/2013,N/E
31/10/2013,N/E
07/11/2013,N/E
14/11/2013,3.60
21/11/2013,N/E
28/11/2013,N/E
05/12/2013,N/E
11/12/2013,3.64
19/12/2013,N/E
26/12/2013,N/E
02/01/2014,N/E
09/01/2014,3.65
16/01/2014,N/E
23/01/2014,N/E
30/01/2014,N/E
06/02/2014,3.78
13/02/2014,N/E
20/02/2014,N/E
27/02/2014,N/E
06/03/2014,3.67
13/03/2014,N/E
20/03/2014,N/E
27/03/2014,N/E
03/04/2014,3.67
10/04/2014,N/E
16/04/2014,N/E
24/04/2014,N/E
30/04/2014,3.64
08/05/2014,N/E
15/05/2014,N/E
22/05/2014,N/E
29/05/2014,3.61
05/06/2014,N/E
12/06/2014,N/E
19/06/2014,N/E
26/06/2014,3.10
03/07/2014,N/E
10/07/2014,N/E
17/07/2014,N/E
24/07/2014,3.03
31/07/2014,N/E
07/08/2014,N/E
14/08/2014,N/E
21/08/2014,3.01
28/08/2014,N/E
04/09/2014,N/E
11/09/2014,N/E
18/09/2014,3.09
25/09/2014,N/E
02/10/2014,N/E
09/10/2014,N/E
16/10/2014,3.17
23/10/2014,N/E
30/10/2014,N/E
06/11/2014,N/E
13/11/2014,3.17
20/11/2014,N/E
27/11/2014,N/E
04/12/2014,N/E
11/12/2014,3.22
18/12/2014,N/E
24/12/2014,N/E
31/12/2014,N/E
08/01/2015,3.23
15/01/2015,N/E
22/01/2015,N/E
29/01/2015,N/E
05/02/2015,3.21
12/02/2015,N/E
19/02/2015,N/E
26/02/2015,N/E
05/03/2015,3.53
12/03/2015,N/E
19/03/2015,N/E
26/03/2015,N/E
01/04/2015,3.62
09/04/2015,N/E
16/04/2015,N/E
23/04/2015,N/E
30/04/2015,3.37
07/05/2015,N/E
14/05/2015,N/E
21/05/2015,N/E
28/05/2015,3.50
04/06/2015,N/E
11/06/2015,N/E
18/06/2015,N/E
25/06/2015,3.54
02/07/2015,N/E
09/07/2015,N/E
16/07/2015,N/E
23/07/2015,3.62
30/07/2015,N/E
06/08/2015,N/E
13/08/2015,N/E
20/08/2015,3.70
27/08/2015,N/E
03/09/2015,N/E
10/09/2015,N/E
17/09/2015,3.71
24/09/2015,N/E
01/10/2015,N/E
08/10/2015,N/E
15/10/2015,3.53
22/10/2015,N/E
29/10/2015,N/E
05/11/2015,N/E
12/11/2015,3.69
19/11/2015,N/E
26/11/2015,N/E
03/12/2015,N/E
10/12/2015,3.68
17/12/2015,N/E
24/12/2015,N/E
31/12/2015,N/E
07/01/2016,3.58
14/01/2016,N/E
21/01/2016,N/E
28/01/2016,N/E
04/02/2016,3.53
11/02/2016,N/E
18/02/2016,N/E
25/02/2016,N/E
03/03/2016,4.11
10/03/2016,N/E
17/03/2016,N/E
23/03/2016,N/E
31/03/2016,4.11
07/04/2016,N/E
14/04/2016,N/E
21/04/2016,N/E
28/04/2016,4.03
05/05/2016,N/E
12/05/2016,N/E
19/05/2016,N/E
26/05/2016,4.47
02/06/2016,N/E
09/06/2016,N/E
16/06/2016,N/E
23/06/2016,4.46
30/06/2016,N/E
07/07/2016,N/E
14/07/2016,N/E
21/07/2016,4.79
28/07/2016,N/E
04/08/2016,N/E
11/08/2016,N/E
18/08/2016,4.75
25/08/2016,N/E
01/09/2016,N/E
08/09/2016,N/E
15/09/2016,4.87
22/09/2016,N/E
29/09/2016,N/E
06/10/2016,N/E
13/10/2016,5.22
20/10/2016,N/E
27/10/2016,N/E
03/11/2016,N/E
10/11/2016,5.31
17/11/2016,N/E
24/11/2016,N/E
01/12/2016,N/E
08/12/2016,6.20
15/12/2016,N/E
22/12/2016,N/E
29/12/2016,N/E
05/01/2017,6.68
12/01/2017,N/E
19/01/2017,N/E
26/01/2017,N/E
02/02/2017,6.92
09/02/2017,N/E
16/02/2017,N/E
23/02/2017,N/E
02/03/2017,6.92
09/03/2017,N/E
16/03/2017,N/E
23/03/2017,N/E
30/03/2017,6.90
06/04/2017,N/E
12/04/2017,N/E
20/04/2017,N/E
27/04/2017,6.99
04/05/2017,N/E
11/05/2017,N/E
18/05/2017,N/E
25/05/2017,7.23
01/06/2017,N/E
08/06/2017,N/E
15/06/2017,N/E
22/06/2017,7.20
29/06/2017,N/E
06/07/2017,N/E
13/07/2017,N/E
20/07/2017,7.23
27/07/2017,N/E
03/08/2017,N/E
10/08/2017,N/E
17/08/2017,7.22
24/08/2017,N/E
31/08/2017,N/E
07/09/2017,N/E
14/09/2017,7.18
21/09/2017,N/E
28/09/2017,N/E
05/10/2017,N/E
12/10/2017,7.18
19/10/2017,N/E
26/10/2017,N/E
01/11/2017,N/E
09/11/2017,7.27
16/11/2017,N/E
23/11/2017,N/E
30/11/2017,N/E
07/12/2017,7.33
14/12/2017,N/E
21/12/2017,N/E
28/12/2017,N/E
04/01/2018,7.78
11/01/2018,N/E
18/01/2018,N/E
25/01/2018,N/E
01/02/2018,7.70
08/02/2018,N/E
15/02/2018,N/E
22/02/2018,N/E
01/03/2018,7.85
08/03/2018,N/E
15/03/2018,N/E
22/03/2018,N/E
28/03/2018,7.80
05/04/2018,N/E
12/04/2018,N/E
19/04/2018,N/E
26/04/2018,7.71
03/05/2018,N/E
10/05/2018,N/E
17/05/2018,N/E
24/05/2018,7.94
31/05/2018,N/E
07/06/2018,N/E
14/06/2018,N/E
21/06/2018,8.10
28/06/2018,N/E
05/07/2018,N/E
12/07/2018,N/E
19/07/2018,8.19
26/07/2018,N/E
02/08/2018,N/E
09/08/2018,N/E
16/08/2018,8.15
23/08/2018,N/E
30/08/2018,N/E
06/09/2018,N/E
13/09/2018,8.26
20/09/2018,N/E
27/09/2018,N/E
04/10/2018,N/E
11/10/2018,8.20
18/10/2018,N/E
25/10/2018,N/E
01/11/2018,N/E
08/11/2018,8.49
15/11/2018,N/E
22/11/2018,N/E
29/11/2018,N/E
06/12/2018,8.67
13/12/2018,N/E
20/12/2018,N/E
27/12/2018,N/E
03/01/2019,N/E
10/01/2019,8.62
17/01/2019,N/E
24/01/2019,N/E
31/01/2019,8.42
07/02/2019,N/E
14/02/2019,N/E
21/02/2019,N/E
28/02/2019,8.20
07/03/2019,N/E
14/03/2019,N/E
21/03/2019,N/E
28/03/2019,8.05
04/04/2019,N/E
11/04/2019,N/E
17/04/2019,N/E
25/04/2019,8.15
02/05/2019,N/E
09/05/2019,N/E
16/05/2019,N/E
23/05/2019,8.28
30/05/2019,N/E
06/06/2019,N/E
13/06/2019,N/E
20/06/2019,8.16
27/06/2019,N/E
04/07/2019,N/E
11/07/2019,N/E
18/07/2019,8.04
25/07/2019,N/E
01/08/2019,N/E
08/08/2019,N/E
15/08/2019,7.78
22/08/2019,N/E
29/08/2019,N/E
05/09/2019,N/E
12/09/2019,7.39
19/09/2019,N/E
26/09/2019,N/E
03/10/2019,N/E
10/10/2019,7.18
17/10/2019,N/E
24/10/2019,N/E
31/10/2019,N/E
07/11/2019,7.12
14/11/2019,N/E
21/11/2019,N/E
28/11/2019,N/E
05/12/2019,7.18
11/12/2019,N/E
19/12/2019,N/E
26/12/2019,N/E
02/01/2020,7.18
09/01/2020,N/E
16/01/2020,N/E
23/01/2020,N/E
30/01/2020,6.97
06/02/2020,N/E
13/02/2020,N/E
20/02/2020,N/E
27/02/2020,6.66
05/03/2020,N/E
12/03/2020,N/E
19/03/2020,N/E
26/03/2020,6.61
02/04/2020,N/E
08/04/2020,N/E
16/04/2020,N/E
23/04/2020,5.79
