Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS,?CETES,?BONDES,?BONDES D,?BONOS,?UDIBONOS
Ene 1985,"994,601.00",0.00,0.00,0.00,0.00,,,,,
Feb 1985,"1,023,907.00",0.00,0.00,0.00,0.00,2.95,0.00,0.00,0.00,0.00
Mar 1985,"1,195,681.00",0.00,0.00,0.00,0.00,16.78,0.00,0.00,0.00,0.00
Abr 1985,"1,521,570.00",0.00,0.00,0.00,0.00,27.26,0.00,0.00,0.00,0.00
May 1985,"1,629,470.00",0.00,0.00,0.00,0.00,7.09,0.00,0.00,0.00,0.00
Jun 1985,"1,701,706.00",0.00,0.00,0.00,0.00,4.43,0.00,0.00,0.00,0.00
Jul 1985,"1,798,938.00",0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00
Ago 1985,"2,252,509.00",0.00,0.00,0.00,0.00,25.21,0.00,0.00,0.00,0.00
Sep 1985,"2,726,680.00",0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,0.00
Oct 1985,"2,854,695.00",0.00,0.00,0.00,0.00,4.69,0.00,0.00,0.00,0.00
Nov 1985,"2,708,537.00",0.00,0.00,0.00,0.00,-5.12,0.00,0.00,0.00,0.00
Dic 1985,"2,360,320.00",0.00,0.00,0.00,0.00,-12.86,0.00,0.00,0.00,0.00
Ene 1986,"2,487,288.13",0.00,0.00,0.00,0.00,5.38,0.00,0.00,0.00,0.00
Feb 1986,"2,588,965.00",0.00,0.00,0.00,0.00,4.09,0.00,0.00,0.00,0.00
Mar 1986,"2,875,404.00",0.00,0.00,0.00,0.00,11.06,0.00,0.00,0.00,0.00
Abr 1986,"3,656,110.00",0.00,0.00,0.00,0.00,27.15,0.00,0.00,0.00,0.00
May 1986,"4,131,567.00",0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00
Jun 1986,"4,222,903.00",0.00,0.00,0.00,0.00,2.21,0.00,0.00,0.00,0.00
Jul 1986,"4,734,053.00",0.00,0.00,0.00,0.00,12.10,0.00,0.00,0.00,0.00
Ago 1986,"5,248,505.00",0.00,0.00,0.00,0.00,10.87,0.00,0.00,0.00,0.00
Sep 1986,"6,086,889.00",0.00,0.00,0.00,0.00,15.97,0.00,0.00,0.00,0.00
Oct 1986,"6,769,400.00",0.00,0.00,0.00,0.00,11.21,0.00,0.00,0.00,0.00
Nov 1986,"7,613,900.00",0.00,0.00,0.00,0.00,12.48,0.00,0.00,0.00,0.00
Dic 1986,"8,184,700.00",0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00
Ene 1987,"9,494,200.00",0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00
Feb 1987,"10,810,300.00",0.00,0.00,0.00,0.00,13.86,0.00,0.00,0.00,0.00
Mar 1987,"11,819,800.00",0.00,0.00,0.00,0.00,9.34,0.00,0.00,0.00,0.00
Abr 1987,"13,003,400.00",0.00,0.00,0.00,0.00,10.01,0.00,0.00,0.00,0.00
May 1987,"14,362,000.00",0.00,0.00,0.00,0.00,10.45,0.00,0.00,0.00,0.00
Jun 1987,"16,062,100.00",0.00,0.00,0.00,0.00,11.84,0.00,0.00,0.00,0.00
Jul 1987,"17,899,403.00",0.00,0.00,0.00,0.00,11.44,0.00,0.00,0.00,0.00
Ago 1987,"19,784,300.00",0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00
Sep 1987,"21,172,600.00",0.00,0.00,0.00,0.00,7.02,0.00,0.00,0.00,0.00
Oct 1987,"21,658,200.00","149,057.00",0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00
Nov 1987,"23,482,908.00","337,097.00",0.00,0.00,0.00,8.43,126.15,0.00,0.00,0.00
Dic 1987,"28,005,508.00","358,493.50",0.00,0.00,0.00,19.26,6.35,0.00,0.00,0.00
Ene 1988,"28,188,608.00","561,090.90",0.00,0.00,0.00,0.65,56.51,0.00,0.00,0.00
Feb 1988,"31,001,408.00","998,460.00",0.00,0.00,0.00,9.98,77.95,0.00,0.00,0.00
Mar 1988,"33,987,508.00","2,166,960.00",0.00,0.00,0.00,9.63,117.03,0.00,0.00,0.00
Abr 1988,"37,224,248.00","3,024,785.59",0.00,0.00,0.00,9.52,39.59,0.00,0.00,0.00
May 1988,"36,726,130.00","4,964,822.13",0.00,0.00,0.00,-1.34,64.14,0.00,0.00,0.00
Jun 1988,"37,129,767.00","6,476,894.00",0.00,0.00,0.00,1.10,30.46,0.00,0.00,0.00
Jul 1988,"37,432,471.00","6,816,437.00",0.00,0.00,0.00,0.82,5.24,0.00,0.00,0.00
Ago 1988,"39,467,468.00","7,352,775.00",0.00,0.00,0.00,5.44,7.87,0.00,0.00,0.00
Sep 1988,"39,561,395.00","8,715,677.00",0.00,0.00,0.00,0.24,18.54,0.00,0.00,0.00
Oct 1988,"38,548,345.00","11,552,964.00",0.00,0.00,0.00,-2.56,32.55,0.00,0.00,0.00
Nov 1988,"47,946,147.00","14,421,147.00",0.00,0.00,0.00,24.38,24.83,0.00,0.00,0.00
Dic 1988,"42,877,671.00","20,185,738.00",0.00,0.00,0.00,-10.57,39.97,0.00,0.00,0.00
Ene 1989,"43,491,354.00","25,147,626.00",0.00,0.00,0.00,1.43,24.58,0.00,0.00,0.00
Feb 1989,"44,216,816.00","28,937,904.00",0.00,0.00,0.00,1.67,15.07,0.00,0.00,0.00
Mar 1989,"54,046,530.00","32,147,360.00",0.00,0.00,0.00,22.23,11.09,0.00,0.00,0.00
Abr 1989,"58,459,568.00","35,151,975.00",0.00,0.00,0.00,8.17,9.35,0.00,0.00,0.00
May 1989,"51,582,949.00","41,567,568.00",0.00,0.00,0.00,-11.76,18.25,0.00,0.00,0.00
Jun 1989,"46,178,728.00","50,993,947.00",0.00,0.00,0.00,-10.48,22.68,0.00,0.00,0.00
Jul 1989,"45,303,186.00","56,729,696.00",0.00,0.00,0.00,-1.90,11.25,0.00,0.00,0.00
Ago 1989,"43,715,149.00","59,709,815.00",0.00,0.00,0.00,-3.51,5.25,0.00,0.00,0.00
Sep 1989,"43,068,525.00","61,120,175.00",0.00,0.00,0.00,-1.48,2.36,0.00,0.00,0.00
Oct 1989,"45,703,966.00","60,608,654.00",0.00,0.00,0.00,6.12,-0.84,0.00,0.00,0.00
Nov 1989,"46,711,031.00","57,959,226.00",0.00,0.00,0.00,2.20,-4.37,0.00,0.00,0.00
Dic 1989,"54,353,073.00","55,676,626.00",0.00,0.00,0.00,16.36,-3.94,0.00,0.00,0.00
Ene 1990,"61,074,059.00","54,929,195.00",0.00,0.00,0.00,12.37,-1.34,0.00,0.00,0.00
Feb 1990,"65,256,237.00","54,558,345.00",0.00,0.00,0.00,6.85,-0.68,0.00,0.00,0.00
Mar 1990,"72,103,943.00","54,591,165.00",0.00,0.00,0.00,10.49,0.06,0.00,0.00,0.00
Abr 1990,"67,707,995.00","56,058,562.00",0.00,0.00,0.00,-6.10,2.69,0.00,0.00,0.00
May 1990,"70,047,064.00","56,729,842.00",0.00,0.00,0.00,3.45,1.20,0.00,0.00,0.00
Jun 1990,"72,770,641.00","57,088,660.00",0.00,0.00,0.00,3.89,0.63,0.00,0.00,0.00
Jul 1990,"75,691,339.00","57,679,702.00",0.00,0.00,0.00,4.01,1.04,0.00,0.00,0.00
Ago 1990,"76,959,919.00","56,525,548.00",0.00,0.00,0.00,1.68,-2.00,0.00,0.00,0.00
Sep 1990,"73,070,840.00","57,261,983.00",0.00,0.00,0.00,-5.05,1.30,0.00,0.00,0.00
Oct 1990,"68,956,464.00","59,062,809.00",0.00,0.00,0.00,-5.63,3.14,0.00,0.00,0.00
Nov 1990,"67,837,054.00","63,073,653.00",0.00,0.00,0.00,-1.62,6.79,0.00,0.00,0.00
Dic 1990,"72,000,995.00","64,513,140.00",0.00,0.00,0.00,6.14,2.28,0.00,0.00,0.00
Ene 1991,"70,359,417.00","65,302,938.00",0.00,0.00,0.00,-2.28,1.22,0.00,0.00,0.00
Feb 1991,"71,173,655.00","64,978,263.00",0.00,0.00,0.00,1.16,-0.50,0.00,0.00,0.00
Mar 1991,"70,083,386.00","63,789,513.00",0.00,0.00,0.00,-1.53,-1.83,0.00,0.00,0.00
Abr 1991,"72,123,644.00","62,197,126.00",0.00,0.00,0.00,2.91,-2.50,0.00,0.00,0.00
May 1991,"76,338,309.00","55,861,199.00",0.00,0.00,0.00,5.84,-10.19,0.00,0.00,0.00
Jun 1991,"78,908,270.00","50,943,428.00",0.00,0.00,0.00,3.37,-8.80,0.00,0.00,0.00
Jul 1991,"83,936,385.00","47,682,440.00",0.00,0.00,0.00,6.37,-6.40,0.00,0.00,0.00
Ago 1991,"84,451,780.00","45,040,437.00",0.00,0.00,0.00,0.61,-5.54,0.00,0.00,0.00
Sep 1991,"80,324,794.00","51,503,672.00",0.00,0.00,0.00,-4.89,14.35,0.00,0.00,0.00
Oct 1991,"60,044,042.00","58,561,707.00",0.00,0.00,0.00,-25.25,13.70,0.00,0.00,0.00
Nov 1991,"63,483,698.00","58,279,218.00",0.00,0.00,0.00,5.73,-0.48,0.00,0.00,0.00
Dic 1991,"72,658,106.00","57,978,531.00",0.00,0.00,0.00,14.45,-0.52,0.00,0.00,0.00
Ene 1992,"68,481,188.00","58,742,129.00",0.00,0.00,0.00,-5.75,1.32,0.00,0.00,0.00
Feb 1992,"66,662,240.00","58,588,862.00",0.00,0.00,0.00,-2.66,-0.26,0.00,0.00,0.00
Mar 1992,"51,835,792.00","57,905,122.00",0.00,0.00,0.00,-22.24,-1.17,0.00,0.00,0.00
Abr 1992,"52,859,792.00","51,469,160.00",0.00,0.00,0.00,1.98,-11.11,0.00,0.00,0.00
May 1992,"57,031,930.00","43,415,638.00",0.00,0.00,0.00,7.89,-15.65,0.00,0.00,0.00
Jun 1992,"60,525,154.00","40,159,607.00",0.00,0.00,0.00,6.13,-7.50,0.00,0.00,0.00
Jul 1992,"67,893,299.00","32,878,190.00",0.00,0.00,0.00,12.17,-18.13,0.00,0.00,0.00
Ago 1992,"66,519,402.00","29,918,517.00",0.00,0.00,0.00,-2.02,-9.00,0.00,0.00,0.00
Sep 1992,"60,020,532.00","29,102,495.00",0.00,0.00,0.00,-9.77,-2.73,0.00,0.00,0.00
Oct 1992,"56,469,819.00","32,659,402.00",0.00,0.00,0.00,-5.92,12.22,0.00,0.00,0.00
Nov 1992,"53,862,613.00","36,191,086.00",0.00,0.00,0.00,-4.62,10.81,0.00,0.00,0.00
Dic 1992,"59,338,167.00","36,847,481.00",0.00,0.00,0.00,10.17,1.81,0.00,0.00,0.00
Ene 1993,"54,557,346.00","38,589,910.00",0.00,0.00,0.00,-8.06,4.73,0.00,0.00,0.00
Feb 1993,"51,173,394.00","38,584,168.00",0.00,0.00,0.00,-6.20,-0.01,0.00,0.00,0.00
Mar 1993,"54,355,904.00","37,444,528.00",0.00,0.00,0.00,6.22,-2.95,0.00,0.00,0.00
Abr 1993,"51,206,932.00","36,990,937.00",0.00,0.00,0.00,-5.79,-1.21,0.00,0.00,0.00
May 1993,"49,652,661.00","35,547,995.00",0.00,0.00,0.00,-3.04,-3.90,0.00,0.00,0.00
Jun 1993,"51,321,009.00","36,166,249.00",0.00,0.00,0.00,3.36,1.74,0.00,0.00,0.00
Jul 1993,"54,899,246.00","36,161,757.50",0.00,0.00,0.00,6.97,-0.01,0.00,0.00,0.00
Ago 1993,"57,589,925.00","34,216,863.00",0.00,0.00,0.00,4.90,-5.38,0.00,0.00,0.00
Sep 1993,"60,403,967.00","31,473,789.00",0.00,0.00,0.00,4.89,-8.02,0.00,0.00,0.00
Oct 1993,"64,198,494.00","26,088,221.25",0.00,0.00,0.00,6.28,-17.11,0.00,0.00,0.00
Nov 1993,"69,716,814.00","20,301,797.00",0.00,0.00,0.00,8.60,-22.18,0.00,0.00,0.00
Dic 1993,"81,430,712.00","17,035,777.50",0.00,0.00,0.00,16.80,-16.09,0.00,0.00,0.00
Ene 1994,"80,162,788.00","17,056,425.00",0.00,0.00,0.00,-1.56,0.12,0.00,0.00,0.00
Feb 1994,"89,355,763.00","16,759,883.50",0.00,0.00,0.00,11.47,-1.74,0.00,0.00,0.00
Mar 1994,"84,967,146.00","17,405,869.50",0.00,0.00,0.00,-4.91,3.85,0.00,0.00,0.00
Abr 1994,"74,732,371.00","17,435,309.25",0.00,0.00,0.00,-12.05,0.17,0.00,0.00,0.00
May 1994,"70,364,630.00","17,764,651.50",0.00,0.00,0.00,-5.84,1.89,0.00,0.00,0.00
Jun 1994,"67,149,013.00","17,300,619.00",0.00,0.00,0.00,-4.57,-2.61,0.00,0.00,0.00
Jul 1994,"54,362,657.00","16,998,309.50",0.00,0.00,0.00,-19.04,-1.75,0.00,0.00,0.00
Ago 1994,"52,932,348.00","17,039,780.00",0.00,0.00,0.00,-2.63,0.24,0.00,0.00,0.00
Sep 1994,"51,473,981.00","16,179,742.75",0.00,0.00,0.00,-2.76,-5.05,0.00,0.00,0.00
Oct 1994,"48,859,066.00","13,176,979.75",0.00,0.00,0.00,-5.08,-18.56,0.00,0.00,0.00
Nov 1994,"45,572,242.00","9,720,731.25",0.00,0.00,0.00,-6.73,-26.23,0.00,0.00,0.00
Dic 1994,"40,688,965.00","8,315,685.13",0.00,0.00,0.00,-10.72,-14.45,0.00,0.00,0.00
Ene 1995,"40,012,967.00","9,865,425.13",0.00,0.00,0.00,-1.66,18.64,0.00,0.00,0.00
Feb 1995,"42,781,722.00","11,157,912.13",0.00,0.00,0.00,6.92,13.10,0.00,0.00,0.00
Mar 1995,"42,992,491.00","18,387,755.50",0.00,0.00,0.00,0.49,64.80,0.00,0.00,0.00
Abr 1995,"41,694,196.00","26,800,162.25",0.00,0.00,0.00,-3.02,45.75,0.00,0.00,0.00
May 1995,"43,887,990.00","32,516,125.50",0.00,0.00,0.00,5.26,21.33,0.00,0.00,0.00
Jun 1995,"49,261,193.50","36,321,061.50",0.00,0.00,0.00,12.24,11.70,0.00,0.00,0.00
Jul 1995,"54,189,041.00","38,067,237.50",0.00,0.00,0.00,10.00,4.81,0.00,0.00,0.00
Ago 1995,"55,382,769.00","38,731,979.00",0.00,0.00,0.00,2.20,1.75,0.00,0.00,0.00
Sep 1995,"58,804,933.00","39,597,345.50",0.00,0.00,0.00,6.18,2.23,0.00,0.00,0.00
Oct 1995,"57,664,300.00","41,801,151.00",0.00,0.00,0.00,-1.94,5.57,0.00,0.00,0.00
Nov 1995,"49,519,766.50","46,646,914.00",0.00,0.00,0.00,-14.12,11.59,0.00,0.00,0.00
Dic 1995,"48,589,802.50","44,970,324.50",0.00,0.00,0.00,-1.88,-3.59,0.00,0.00,0.00
Ene 1996,"47,987,840.00","46,643,823.00",0.00,0.00,0.00,-1.24,3.72,0.00,0.00,0.00
Feb 1996,"44,369,300.00","48,476,314.00",0.00,0.00,0.00,-7.54,3.93,0.00,0.00,0.00
Mar 1996,"42,434,016.00","49,541,301.50",0.00,0.00,0.00,-4.36,2.20,0.00,0.00,0.00
Abr 1996,"44,988,179.50","50,572,330.50",0.00,0.00,0.00,6.02,2.08,0.00,0.00,0.00
May 1996,"51,261,330.50","50,755,683.50",0.00,0.00,"229,453.80",13.94,0.36,0.00,0.00,0.00
Jun 1996,"53,611,133.00","51,030,598.00",0.00,0.00,"775,602.70",4.58,0.54,0.00,0.00,238.02
Jul 1996,"55,012,536.50","52,868,547.00",0.00,0.00,"1,374,644.09",2.61,3.60,0.00,0.00,77.24
Ago 1996,"53,760,832.50","56,121,374.00",0.00,0.00,"1,903,686.91",-2.28,6.15,0.00,0.00,38.49
Sep 1996,"54,605,911.50","59,856,833.50",0.00,0.00,"2,433,662.09",1.57,6.66,0.00,0.00,27.84
Oct 1996,"57,250,388.00","62,261,560.50",0.00,0.00,"3,274,541.63",4.84,4.02,0.00,0.00,34.55
Nov 1996,"59,630,172.00","64,227,716.00",0.00,0.00,"4,071,391.38",4.16,3.16,0.00,0.00,24.33
Dic 1996,"62,114,111.00","67,848,976.00",0.00,0.00,"5,356,980.00",4.17,5.64,0.00,0.00,31.58
Ene 1997,"60,594,938.00","70,822,319.00",0.00,0.00,"7,251,846.75",-2.45,4.38,0.00,0.00,35.37
Feb 1997,"62,762,041.00","73,299,946.00",0.00,0.00,"9,776,911.25",3.58,3.50,0.00,0.00,34.82
Mar 1997,"63,011,246.00","73,527,942.00",0.00,0.00,"12,569,868.75",0.40,0.31,0.00,0.00,28.57
Abr 1997,"85,142,897.00","71,922,869.00",0.00,0.00,"15,685,078.75",35.12,-2.18,0.00,0.00,24.78
May 1997,"93,809,441.00","73,037,324.00",0.00,0.00,"17,610,115.75",10.18,1.55,0.00,0.00,12.27
Jun 1997,"99,831,546.00","75,535,997.00",0.00,0.00,"19,934,504.50",6.42,3.42,0.00,0.00,13.20
Jul 1997,"110,361,732.00","78,818,992.00",0.00,0.00,"22,787,038.50",10.55,4.35,0.00,0.00,14.31
Ago 1997,"119,515,251.00","81,544,255.00",0.00,0.00,"25,428,781.50",8.29,3.46,0.00,0.00,11.59
Sep 1997,"131,654,546.00","82,753,330.00",0.00,0.00,"27,808,471.00",10.16,1.48,0.00,0.00,9.36
Oct 1997,"136,621,793.00","82,950,839.00",0.00,0.00,"31,453,526.00",3.77,0.24,0.00,0.00,13.11
Nov 1997,"130,190,309.00","82,786,569.00",0.00,0.00,"33,600,075.00",-4.71,-0.20,0.00,0.00,6.82
Dic 1997,"137,812,544.00","81,768,269.00",0.00,0.00,"36,678,360.00",5.85,-1.23,0.00,0.00,9.16
Ene 1998,"146,646,129.00","80,915,785.10",0.00,0.00,"39,561,217.00",6.41,-1.04,0.00,0.00,7.86
Feb 1998,"154,393,062.60","82,328,921.90",0.00,0.00,"42,792,327.50",5.28,1.75,0.00,0.00,8.17
Mar 1998,"168,834,129.00","81,642,297.80",0.00,0.00,"45,002,930.50",9.35,-0.83,0.00,0.00,5.17
Abr 1998,"170,032,683.80","86,379,728.80",0.00,0.00,"49,250,663.10",0.71,5.80,0.00,0.00,9.44
May 1998,"167,084,991.80","86,658,826.00",0.00,0.00,"51,089,042.00",-1.73,0.32,0.00,0.00,3.73
Jun 1998,"171,900,645.90","87,793,552.40",0.00,0.00,"53,799,488.10",2.88,1.31,0.00,0.00,5.31
Jul 1998,"171,173,590.20","92,054,486.10",0.00,0.00,"57,370,948.70",-0.42,4.85,0.00,0.00,6.64
Ago 1998,"175,200,577.70","93,582,790.80",0.00,0.00,"58,862,763.80",2.35,1.66,0.00,0.00,2.60
Sep 1998,"153,955,849.70","96,293,990.30",0.00,0.00,"58,620,358.90",-12.13,2.90,0.00,0.00,-0.41
Oct 1998,"145,043,754.30","111,248,473.00",0.00,0.00,"60,739,031.20",-5.79,15.53,0.00,0.00,3.61
Nov 1998,"136,785,226.90","128,644,037.80",0.00,0.00,"60,988,566.00",-5.69,15.64,0.00,0.00,0.41
Dic 1998,"127,600,334.50","151,835,597.00",0.00,0.00,"62,833,444.00",-6.71,18.03,0.00,0.00,3.02
Ene 1999,"111,901,015.10","172,543,481.70",0.00,0.00,"64,646,880.60",-12.30,13.64,0.00,0.00,2.89
Feb 1999,"99,578,787.40","196,690,335.80",0.00,0.00,"66,299,419.30",-11.01,13.99,0.00,0.00,2.56
